Test,item,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,89,1.305,1.05,2.5,1.45,0.255,1.195,17.6,82.4,0.176
gap creation,90,1.407,1.05,2.5,1.45,0.357,1.093,24.6,75.4,0.246
gap creation,91,1.047,1.05,2.5,1.45,-0.003,1.453,-0.2,100.2,-0.002
gap creation,92,2.297,1.05,2.5,1.45,1.247,0.203,86,14,0.14
gap creation,93,1.924,1.05,2.5,1.45,0.874,0.576,60.3,39.7,0.397
gap creation,94,1.239,1.05,2.5,1.45,0.189,1.261,13,87,0.13
gap creation,95,1.187,1.05,2.5,1.45,0.137,1.313,9.4,90.6,0.094
gap creation,96,2.769,1.05,2.5,1.45,1.719,-0.269,118.6,-18.6,-0.186
gap creation,97,2.46,1.05,2.5,1.45,1.41,0.04,97.2,2.8,0.028
gap creation,98,0.918,1.05,2.5,1.45,-0.132,1.582,-9.1,109.1,-0.091
gap creation,99,0.76,1.05,2.5,1.45,-0.29,1.74,-20,120,-0.2
gap creation,100,1.863,1.05,2.5,1.45,0.813,0.637,56.1,43.9,0.439
gap creation,101,2.576,1.05,2.5,1.45,1.526,-0.076,105.2,-5.2,-0.052
gap creation,102,2.473,1.05,2.5,1.45,1.423,0.027,98.1,1.9,0.019
gap creation,103,2.611,1.05,2.5,1.45,1.561,-0.111,107.7,-7.7,-0.077
gap creation,104,1.842,1.05,2.5,1.45,0.792,0.658,54.6,45.4,0.454
gap creation,105,2.458,1.05,2.5,1.45,1.408,0.042,97.1,2.9,0.029
gap creation,106,2.235,1.05,2.5,1.45,1.185,0.265,81.7,18.3,0.183
gap creation,107,2.261,1.05,2.5,1.45,1.211,0.239,83.5,16.5,0.165
gap creation,108,2.333,1.05,2.5,1.45,1.283,0.167,88.5,11.5,0.115
gap creation,109,2.138,1.05,2.5,1.45,1.088,0.362,75,25,0.25
gap creation,110,1.812,1.05,2.5,1.45,0.762,0.688,52.6,47.4,0.474
gap creation,111,2.039,1.05,2.5,1.45,0.989,0.461,68.2,31.8,0.318
gap creation,112,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,0.087
gap creation,113,1.856,1.05,2.5,1.45,0.806,0.644,55.6,44.4,0.444
gap creation,114,2.228,1.05,2.5,1.45,1.178,0.272,81.2,18.8,0.188
gap creation,115,1.915,1.05,2.5,1.45,0.865,0.585,59.7,40.3,0.403
gap creation,116,1.414,1.05,2.5,1.45,0.364,1.086,25.1,74.9,0.251
gap creation,117,1.814,1.05,2.5,1.45,0.764,0.686,52.7,47.3,0.473
gap creation,118,1.586,1.05,2.5,1.45,0.536,0.914,37,63,0.37
gap creation,119,1.232,1.05,2.5,1.45,0.182,1.268,12.6,87.4,0.126
gap creation,120,1.983,1.05,2.5,1.45,0.933,0.517,64.3,35.7,0.357
gap creation,121,1.847,1.05,2.5,1.45,0.797,0.653,55,45,0.45
gap creation,122,1.523,1.05,2.5,1.45,0.473,0.977,32.6,67.4,0.326
gap creation,123,2.123,1.05,2.5,1.45,1.073,0.377,74,26,0.26
gap creation,124,1.974,1.05,2.5,1.45,0.924,0.526,63.7,36.3,0.363
gap creation,125,2.116,1.05,2.5,1.45,1.066,0.384,73.5,26.5,0.265
gap creation,126,1.915,1.05,2.5,1.45,0.865,0.585,59.7,40.3,0.403
gap creation,127,1.488,1.05,2.5,1.45,0.438,1.012,30.2,69.8,0.302
gap creation,128,1.121,1.05,2.5,1.45,0.071,1.379,4.9,95.1,0.049
gap creation,129,1.664,1.05,2.5,1.45,0.614,0.836,42.3,57.7,0.423
gap creation,130,1.588,1.05,2.5,1.45,0.538,0.912,37.1,62.9,0.371
gap creation,131,1.445,1.05,2.5,1.45,0.395,1.055,27.2,72.8,0.272
gap creation,132,1.973,1.05,2.5,1.45,0.923,0.527,63.7,36.3,0.363
gap creation,133,1.962,1.05,2.5,1.45,0.912,0.538,62.9,37.1,0.371
gap creation,134,1.639,1.05,2.5,1.45,0.589,0.861,40.6,59.4,0.406
gap creation,135,2.339,1.05,2.5,1.45,1.289,0.161,88.9,11.1,0.111
gap creation,136,1.141,1.05,2.5,1.45,0.091,1.359,6.3,93.7,0.063
gap creation,137,2.22,1.05,2.5,1.45,1.17,0.28,80.7,19.3,0.193
gap creation,138,1.634,1.05,2.5,1.45,0.584,0.866,40.3,59.7,0.403
gap creation,139,1.094,1.05,2.5,1.45,0.044,1.406,3,97,0.03
gap creation,140,1.839,1.05,2.5,1.45,0.789,0.661,54.4,45.6,0.456
gap creation,141,1.607,1.05,2.5,1.45,0.557,0.893,38.4,61.6,0.384
gap creation,142,2.076,1.05,2.5,1.45,1.026,0.424,70.8,29.2,0.292
gap creation,143,1.763,1.05,2.5,1.45,0.713,0.737,49.2,50.8,0.492
gap creation,144,1.86,1.05,2.5,1.45,0.81,0.64,55.9,44.1,0.441
gap creation,145,2.371,1.05,2.5,1.45,1.321,0.129,91.1,8.9,0.089
gap creation,146,2.006,1.05,2.5,1.45,0.956,0.494,65.9,34.1,0.341
gap creation,147,1.84,1.05,2.5,1.45,0.79,0.66,54.5,45.5,0.455
gap creation,148,1.824,1.05,2.5,1.45,0.774,0.676,53.4,46.6,0.466
gap creation,149,1.785,1.05,2.5,1.45,0.735,0.715,50.7,49.3,0.493
gap creation,150,1.35,1.05,2.5,1.45,0.3,1.15,20.7,79.3,0.207
gap creation,151,1.261,1.05,2.5,1.45,0.211,1.239,14.6,85.4,0.146
gap creation,152,2.263,1.05,2.5,1.45,1.213,0.237,83.7,16.3,0.163
gap creation,153,2.173,1.05,2.5,1.45,1.123,0.327,77.4,22.6,0.226
gap creation,154,1.743,1.05,2.5,1.45,0.693,0.757,47.8,52.2,0.478
gap creation,155,1.702,1.05,2.5,1.45,0.652,0.798,45,55,0.45
gap creation,156,1.222,1.05,2.5,1.45,0.172,1.278,11.9,88.1,0.119
gap creation,157,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,0.101
gap creation,158,1.17,1.05,2.5,1.45,0.12,1.33,8.3,91.7,0.083
gap creation,159,2.405,1.05,2.5,1.45,1.355,0.095,93.4,6.6,0.066
gap creation,160,2.19,1.05,2.5,1.45,1.14,0.31,78.6,21.4,0.214
gap creation,161,1.185,1.05,2.5,1.45,0.135,1.315,9.3,90.7,0.093
gap creation,162,1.087,1.05,2.5,1.45,0.037,1.413,2.6,97.4,0.026
gap creation,163,2.295,1.05,2.5,1.45,1.245,0.205,85.9,14.1,0.141
gap creation,164,1.196,1.05,2.5,1.45,0.146,1.304,10.1,89.9,0.101
gap creation,165,1.486,1.05,2.5,1.45,0.436,1.014,30.1,69.9,0.301
gap creation,166,1.539,1.05,2.5,1.45,0.489,0.961,33.7,66.3,0.337
gap creation,167,1.454,1.05,2.5,1.45,0.404,1.046,27.9,72.1,0.279
gap creation,168,1.083,1.05,2.5,1.45,0.033,1.417,2.3,97.7,0.023
gap creation,169,1.431,1.05,2.5,1.45,0.381,1.069,26.3,73.7,0.263
gap creation,170,1.217,1.05,2.5,1.45,0.167,1.283,11.5,88.5,0.115
gap creation,171,1.384,1.05,2.5,1.45,0.334,1.116,23,77,0.23
gap creation,172,2.292,1.05,2.5,1.45,1.242,0.208,85.7,14.3,0.143
gap creation,173,2.475,1.05,2.5,1.45,1.425,0.025,98.3,1.7,0.017
gap creation,174,2.31,1.05,2.5,1.45,1.26,0.19,86.9,13.1,0.131
gap creation,175,1.585,1.05,2.5,1.45,0.535,0.915,36.9,63.1,0.369
gap creation,176,1.177,1.05,2.5,1.45,0.127,1.323,8.8,91.2,0.088
gap creation,177,1.562,1.05,2.5,1.45,0.512,0.938,35.3,64.7,0.353
gap creation,178,1.176,1.05,2.5,1.45,0.126,1.324,8.7,91.3,0.087
gap creation,179,2.375,1.05,2.5,1.45,1.325,0.125,91.4,8.6,0.086
gap creation,180,2.325,1.05,2.5,1.45,1.275,0.175,87.9,12.1,0.121
gap creation,181,1.266,1.05,2.5,1.45,0.216,1.234,14.9,85.1,0.149
gap creation,182,2.175,1.05,2.5,1.45,1.125,0.325,77.6,22.4,0.224
gap creation,183,1.219,1.05,2.5,1.45,0.169,1.281,11.7,88.3,0.117
gap creation,184,1.377,1.05,2.5,1.45,0.327,1.123,22.6,77.4,0.226
gap creation,185,1.204,1.05,2.5,1.45,0.154,1.296,10.6,89.4,0.106
gap creation,186,2.231,1.05,2.5,1.45,1.181,0.269,81.4,18.6,0.186
gap creation,187,2.535,1.05,2.5,1.45,1.485,-0.035,102.4,-2.4,-0.024
gap creation,188,1.069,1.05,2.5,1.45,0.019,1.431,1.3,98.7,0.013
gap creation,189,1.044,1.05,2.5,1.45,-0.006,1.456,-0.4,100.4,-0.004
gap creation,190,1.151,1.05,2.5,1.45,0.101,1.349,7,93,0.07
gap creation,191,2.202,1.05,2.5,1.45,1.152,0.298,79.4,20.6,0.206
gap creation,192,2.308,1.05,2.5,1.45,1.258,0.192,86.8,13.2,0.132
gap creation,193,1.506,1.05,2.5,1.45,0.456,0.994,31.4,68.6,0.314
gap creation,194,1.38,1.05,2.5,1.45,0.33,1.12,22.8,77.2,0.228
gap creation,195,1.159,1.05,2.5,1.45,0.109,1.341,7.5,92.5,0.075
gap creation,196,2.321,1.05,2.5,1.45,1.271,0.179,87.7,12.3,0.123
gap creation,197,1.109,1.05,2.5,1.45,0.059,1.391,4.1,95.9,0.041
gap creation,198,1.764,1.05,2.5,1.45,0.714,0.736,49.2,50.8,0.492
gap creation,199,1.93,1.05,2.5,1.45,0.88,0.57,60.7,39.3,0.393
gap creation,200,1.703,1.05,2.5,1.45,0.653,0.797,45,55,0.45
gap creation,201,1.694,1.05,2.5,1.45,0.644,0.806,44.4,55.6,0.444
gap creation,202,1.796,1.05,2.5,1.45,0.746,0.704,51.4,48.6,0.486
gap creation,203,1.904,1.05,2.5,1.45,0.854,0.596,58.9,41.1,0.411
gap creation,204,1.912,1.05,2.5,1.45,0.862,0.588,59.4,40.6,0.406
gap creation,205,1.863,1.05,2.5,1.45,0.813,0.637,56.1,43.9,0.439
gap creation,206,1.709,1.05,2.5,1.45,0.659,0.791,45.4,54.6,0.454
gap creation,207,1.878,1.05,2.5,1.45,0.828,0.622,57.1,42.9,0.429
gap creation,208,1.776,1.05,2.5,1.45,0.726,0.724,50.1,49.9,0.499
gap creation,209,1.772,1.05,2.5,1.45,0.722,0.728,49.8,50.2,0.498
gap creation,210,2.033,1.05,2.5,1.45,0.983,0.467,67.8,32.2,0.322
gap creation,211,1.857,1.05,2.5,1.45,0.807,0.643,55.7,44.3,0.443
gap creation,212,2.018,1.05,2.5,1.45,0.968,0.482,66.8,33.2,0.332
gap creation,213,1.995,1.05,2.5,1.45,0.945,0.505,65.2,34.8,0.348
gap creation,214,1.7,1.05,2.5,1.45,0.65,0.8,44.8,55.2,0.448
gap creation,215,2.144,1.05,2.5,1.45,1.094,0.356,75.4,24.6,0.246
gap creation,216,1.792,1.05,2.5,1.45,0.742,0.708,51.2,48.8,0.488
gap creation,217,1.828,1.05,2.5,1.45,0.778,0.672,53.7,46.3,0.463
gap creation,218,1.797,1.05,2.5,1.45,0.747,0.703,51.5,48.5,0.485
gap creation,219,1.867,1.05,2.5,1.45,0.817,0.633,56.3,43.7,0.437
gap creation,220,1.922,1.05,2.5,1.45,0.872,0.578,60.1,39.9,0.399
gap creation,221,2.008,1.05,2.5,1.45,0.958,0.492,66.1,33.9,0.339
gap creation,222,1.792,1.05,2.5,1.45,0.742,0.708,51.2,48.8,0.488
gap creation,223,1.761,1.05,2.5,1.45,0.711,0.739,49,51,0.49
gap creation,224,2.011,1.05,2.5,1.45,0.961,0.489,66.3,33.7,0.337
gap creation,225,1.759,1.05,2.5,1.45,0.709,0.741,48.9,51.1,0.489
gap creation,226,1.888,1.05,2.5,1.45,0.838,0.612,57.8,42.2,0.422
gap creation,227,1.818,1.05,2.5,1.45,0.768,0.682,53,47,0.47
gap creation,228,1.909,1.05,2.5,1.45,0.859,0.591,59.2,40.8,0.408
gap creation,229,1.906,1.05,2.5,1.45,0.856,0.594,59,41,0.41
gap creation,230,1.866,1.05,2.5,1.45,0.816,0.634,56.3,43.7,0.437
gap creation,231,1.99,1.05,2.5,1.45,0.94,0.51,64.8,35.2,0.352
gap creation,232,1.843,1.05,2.5,1.45,0.793,0.657,54.7,45.3,0.453
gap creation,233,2.021,1.05,2.5,1.45,0.971,0.479,67,33,0.33
gap creation,234,1.708,1.05,2.5,1.45,0.658,0.792,45.4,54.6,0.454
gap creation,235,1.705,1.05,2.5,1.45,0.655,0.795,45.2,54.8,0.452
gap creation,236,1.983,1.05,2.5,1.45,0.933,0.517,64.3,35.7,0.357
gap creation,237,1.796,1.05,2.5,1.45,0.746,0.704,51.4,48.6,0.486
gap creation,238,2.031,1.05,2.5,1.45,0.981,0.469,67.7,32.3,0.323
gap creation,239,1.902,1.05,2.5,1.45,0.852,0.598,58.8,41.2,0.412
gap creation,240,1.657,1.05,2.5,1.45,0.607,0.843,41.9,58.1,0.419
gap creation,241,1.75,1.05,2.5,1.45,0.7,0.75,48.3,51.7,0.483
gap creation,242,1.58,1.05,2.5,1.45,0.53,0.92,36.6,63.4,0.366
gap creation,243,1.603,1.05,2.5,1.45,0.553,0.897,38.1,61.9,0.381
gap creation,244,1.698,1.05,2.5,1.45,0.648,0.802,44.7,55.3,0.447
gap creation,245,1.795,1.05,2.5,1.45,0.745,0.705,51.4,48.6,0.486
gap creation,246,1.717,1.05,2.5,1.45,0.667,0.783,46,54,0.46
gap creation,247,1.605,1.05,2.5,1.45,0.555,0.895,38.3,61.7,0.383
gap creation,248,1.667,1.05,2.5,1.45,0.617,0.833,42.6,57.4,0.426
gap creation,249,1.842,1.05,2.5,1.45,0.792,0.658,54.6,45.4,0.454
gap creation,250,1.558,1.05,2.5,1.45,0.508,0.942,35,65,0.35
gap creation,251,1.663,1.05,2.5,1.45,0.613,0.837,42.3,57.7,0.423
gap creation,252,1.798,1.05,2.5,1.45,0.748,0.702,51.6,48.4,0.484
gap creation,253,1.858,1.05,2.5,1.45,0.808,0.642,55.7,44.3,0.443
gap creation,254,1.769,1.05,2.5,1.45,0.719,0.731,49.6,50.4,0.496
gap creation,255,1.874,1.05,2.5,1.45,0.824,0.626,56.8,43.2,0.432
gap creation,256,1.542,1.05,2.5,1.45,0.492,0.958,33.9,66.1,0.339
gap creation,257,1.865,1.05,2.5,1.45,0.815,0.635,56.2,43.8,0.438
gap creation,258,1.69,1.05,2.5,1.45,0.64,0.81,44.1,55.9,0.441
gap creation,259,1.765,1.05,2.5,1.45,0.715,0.735,49.3,50.7,0.493
gap creation,260,1.674,1.05,2.5,1.45,0.624,0.826,43,57,0.43
gap creation,261,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,0.455
gap creation,262,1.827,1.05,2.5,1.45,0.777,0.673,53.6,46.4,0.464
gap creation,263,1.895,1.05,2.5,1.45,0.845,0.605,58.3,41.7,0.417
gap creation,264,1.556,1.05,2.5,1.45,0.506,0.944,34.9,65.1,0.349
gap creation,265,1.588,1.05,2.5,1.45,0.538,0.912,37.1,62.9,0.371
gap creation,266,1.815,1.05,2.5,1.45,0.765,0.685,52.8,47.2,0.472
gap creation,267,1.655,1.05,2.5,1.45,0.605,0.845,41.7,58.3,0.417
gap creation,268,1.595,1.05,2.5,1.45,0.545,0.905,37.6,62.4,0.376
gap creation,269,1.622,1.05,2.5,1.45,0.572,0.878,39.4,60.6,0.394
gap creation,270,1.927,1.05,2.5,1.45,0.877,0.573,60.5,39.5,0.395
gap creation,271,1.654,1.05,2.5,1.45,0.604,0.846,41.7,58.3,0.417
gap creation,272,1.795,1.05,2.5,1.45,0.745,0.705,51.4,48.6,0.486
gap creation,273,1.666,1.05,2.5,1.45,0.616,0.834,42.5,57.5,0.425
gap creation,274,1.634,1.05,2.5,1.45,0.584,0.866,40.3,59.7,0.403
gap creation,275,0.548,1.05,2.5,1.45,-0.502,1.952,-34.6,134.6,-0.346
gap creation,276,3.147,1.05,2.5,1.45,2.097,-0.647,144.6,-44.6,-0.446
gap creation,277,3.015,1.05,2.5,1.45,1.965,-0.515,135.5,-35.5,-0.355
gap creation,278,1.202,1.05,2.5,1.45,0.152,1.298,10.5,89.5,0.105
gap creation,279,2.595,1.05,2.5,1.45,1.545,-0.095,106.6,-6.6,-0.066
gap creation,280,2.212,1.05,2.5,1.45,1.162,0.288,80.1,19.9,0.199
gap creation,281,2.751,1.05,2.5,1.45,1.701,-0.251,117.3,-17.3,-0.173
gap creation,282,1.2,1.05,2.5,1.45,0.15,1.3,10.3,89.7,0.103
gap creation,283,1.361,1.05,2.5,1.45,0.311,1.139,21.4,78.6,0.214
gap creation,284,2.194,1.05,2.5,1.45,1.144,0.306,78.9,21.1,0.211
gap creation,285,2.091,1.05,2.5,1.45,1.041,0.409,71.8,28.2,0.282
gap creation,286,1.927,1.05,2.5,1.45,0.877,0.573,60.5,39.5,0.395
gap creation,287,2.105,1.05,2.5,1.45,1.055,0.395,72.8,27.2,0.272
gap creation,288,1.722,1.05,2.5,1.45,0.672,0.778,46.3,53.7,0.463
gap creation,289,2.46,1.05,2.5,1.45,1.41,0.04,97.2,2.8,0.028
gap creation,290,1.877,1.05,2.5,1.45,0.827,0.623,57,43,0.43
gap creation,291,4.261,1.05,2.5,1.45,3.211,-1.761,221.4,-121.4,-1.214
gap creation,292,3.041,1.05,2.5,1.45,1.991,-0.541,137.3,-37.3,-0.373
gap creation,293,1.517,1.05,2.5,1.45,0.467,0.983,32.2,67.8,0.322
gap creation,294,2.411,1.05,2.5,1.45,1.361,0.089,93.9,6.1,0.061
gap creation,295,0.215,1.05,2.5,1.45,-0.835,2.285,-57.6,157.6,-0.576
gap creation,296,1.489,1.05,2.5,1.45,0.439,1.011,30.3,69.7,0.303
gap creation,297,1.862,1.05,2.5,1.45,0.812,0.638,56,44,0.44
gap creation,298,2.019,1.05,2.5,1.45,0.969,0.481,66.8,33.2,0.332
gap creation,299,1.958,1.05,2.5,1.45,0.908,0.542,62.6,37.4,0.374
gap creation,300,1.887,1.05,2.5,1.45,0.837,0.613,57.7,42.3,0.423
gap creation,301,2.223,1.05,2.5,1.45,1.173,0.277,80.9,19.1,0.191
gap creation,302,1.536,1.05,2.5,1.45,0.486,0.964,33.5,66.5,0.335
gap creation,303,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,0.455
gap creation,304,2.151,1.05,2.5,1.45,1.101,0.349,75.9,24.1,0.241
gap creation,305,1.84,1.05,2.5,1.45,0.79,0.66,54.5,45.5,0.455
gap creation,306,1.523,1.05,2.5,1.45,0.473,0.977,32.6,67.4,0.326
gap creation,307,1.691,1.05,2.5,1.45,0.641,0.809,44.2,55.8,0.442
gap creation,308,1.65,1.05,2.5,1.45,0.6,0.85,41.4,58.6,0.414
gap creation,309,1.552,1.05,2.5,1.45,0.502,0.948,34.6,65.4,0.346
gap creation,310,1.665,1.05,2.5,1.45,0.615,0.835,42.4,57.6,0.424
gap creation,311,2.251,1.05,2.5,1.45,1.201,0.249,82.8,17.2,0.172
gap creation,312,1.968,1.05,2.5,1.45,0.918,0.532,63.3,36.7,0.367
gap creation,313,1.283,1.05,2.5,1.45,0.233,1.217,16.1,83.9,0.161
gap creation,314,1.964,1.05,2.5,1.45,0.914,0.536,63,37,0.37
gap creation,315,1.785,1.05,2.5,1.45,0.735,0.715,50.7,49.3,0.493
gap creation,316,1.387,1.05,2.5,1.45,0.337,1.113,23.2,76.8,0.232
gap creation,317,1.43,1.05,2.5,1.45,0.38,1.07,26.2,73.8,0.262
gap creation,318,2.292,1.05,2.5,1.45,1.242,0.208,85.7,14.3,0.143
gap creation,319,1.621,1.05,2.5,1.45,0.571,0.879,39.4,60.6,0.394
gap creation,320,2.31,1.05,2.5,1.45,1.26,0.19,86.9,13.1,0.131
gap creation,321,1.212,1.05,2.5,1.45,0.162,1.288,11.2,88.8,0.112
gap creation,322,2.559,1.05,2.5,1.45,1.509,-0.059,104.1,-4.1,-0.041
gap creation,323,1.927,1.05,2.5,1.45,0.877,0.573,60.5,39.5,0.395
gap creation,324,1.305,1.05,2.5,1.45,0.255,1.195,17.6,82.4,0.176
gap creation,325,1.284,1.05,2.5,1.45,0.234,1.216,16.1,83.9,0.161
